,city_name,country_name,longitude,latitude,clouds,date,humidity,max temp,wind
0,cabo san lucas,MX,-109.91,22.89,40,1534715160,38,91.4,17.22
1,manturovo,RU,44.76,58.33,48,1534718710,59,59.87,7.63
2,ushuaia,AR,-68.31,-54.81,75,1534716000,79,46.4,5.82
3,chervone,UA,37.79,47.83,0,1534718711,50,56.99,4.72
4,ilulissat,GL,-51.1,69.22,75,1534715400,56,44.6,2.24
5,puerto ayora,EC,-90.35,-0.74,75,1534716000,69,77.0,11.41
6,aklavik,CA,-135.01,68.22,75,1534716000,67,60.8,5.82
7,qaanaaq,GL,-69.36,77.48,0,1534718712,87,41.06,3.83
8,kaitangata,NZ,169.85,-46.28,68,1534718712,81,47.36,18.03
9,rikitea,PF,-134.97,-23.12,0,1534718712,100,71.75,3.71
10,ribeira grande,PT,-28.7,38.52,8,1534718713,99,75.89,7.18
11,mataura,NZ,168.86,-46.19,56,1534718713,83,40.61,4.38
12,lagoa,PT,-8.45,37.14,0,1534716000,73,75.2,4.7
13,gat,SN,-16.54,14.69,0,1534718714,81,77.78,11.21
14,sitka,US,-99.65,37.17,0,1534718714,74,76.61,16.02
15,toktogul,KG,72.95,41.87,0,1534718714,85,38.81,1.36
16,cape town,ZA,18.42,-33.93,90,1534716000,93,51.8,11.41
17,provideniya,RU,-173.23,64.42,90,1534716000,76,50.0,11.18
18,bismarck,US,-100.78,46.81,1,1534716900,35,71.6,14.99
19,hofn,IS,-15.21,64.25,64,1534718715,95,49.79,3.49
20,upernavik,GL,-56.15,72.79,88,1534718715,92,41.42,2.37
21,ornskoldsvik,SE,18.72,63.29,48,1534715400,76,51.8,4.7
22,sao filipe,CV,-24.5,14.9,0,1534718716,100,76.88,8.86
23,brooks,CA,-111.89,50.57,92,1534718716,40,67.88,7.74
24,avarua,CK,-159.78,-21.21,20,1534716000,69,77.0,16.11
25,busselton,AU,115.35,-33.64,0,1534718636,100,56.27,5.39
26,saint george,GR,22.34,39.45,0,1534715400,53,73.4,4.7
27,hovd,NO,10.7,63.83,75,1534715400,87,51.8,9.17
28,cherskiy,RU,161.3,68.75,92,1534718717,98,33.95,9.98
29,longonjo,AO,15.25,-12.91,0,1534718718,88,47.63,2.48
30,bluff,AU,149.07,-23.58,0,1534718718,29,57.53,14.67
31,floresta,BR,-38.57,-8.6,0,1534718718,48,75.89,13.33
32,souillac,FR,-0.6,45.6,0,1534716000,63,68.0,5.82
33,kodiak,US,-94.76,39.95,90,1534716600,100,71.6,4.7
34,namatanai,PG,152.44,-3.66,36,1534718719,98,83.27,8.75
35,victoria,BN,115.24,5.28,75,1534717800,94,80.6,3.38
36,illapel,CL,-71.17,-31.63,0,1534718720,99,48.08,3.15
37,tura,IN,90.21,25.52,88,1534718720,99,75.89,3.38
38,belz,UA,24.01,50.38,0,1534717800,93,60.8,2.82
39,dikson,RU,80.55,73.51,92,1534718721,94,45.47,13.89
40,atuona,PF,-139.03,-9.8,92,1534718721,100,76.7,16.58
41,mayskiy,RU,44.06,43.63,20,1534716000,58,59.0,6.71
42,koumac,NC,164.28,-20.56,100,1534718722,100,66.71,5.17
43,akola,IN,77.0,20.71,92,1534718722,95,74.0,14.56
44,yuli,NG,9.86,10.52,92,1534718722,99,67.61,2.48
45,butaritari,KI,172.79,3.07,92,1534718723,100,80.12,4.72
46,airai,TL,125.41,-8.93,0,1534718723,68,70.94,2.37
47,vaini,IN,74.49,15.34,92,1534718724,98,69.68,9.42
48,nusaybin,TR,41.21,37.08,0,1534718724,71,63.47,2.04
49,svelgen,NO,5.3,61.77,92,1534715400,93,53.6,4.7
50,yellowknife,CA,-114.38,62.45,75,1534716000,72,59.0,16.11
51,port alfred,ZA,26.89,-33.59,24,1534718726,93,62.66,14.34
52,miyang,CN,103.44,24.4,64,1534718726,95,62.48,3.04
53,marawi,PH,124.29,8.0,76,1534718727,80,74.9,3.27
54,mar del plata,AR,-67.52,-46.43,0,1534718727,65,43.76,9.75
55,arraial do cabo,BR,-42.02,-22.97,0,1534718727,92,69.41,14.0
56,saint-philippe,CA,-73.48,45.36,20,1534716900,42,80.6,5.82
